"Team","RPG","STEINRPG","RALLOWPG","STEINRALLOWPG","PYTH_STEIN"
"Louisiana (Sun Belt)",8.91,8.46387935,0.727272727,1.133381725,0.982384499595305
"Louisiana Tech (C-USA)",6.91,6.662518805,3.545454545,3.671662491,0.767046062729045
"Louisville (ACC)",4.22,4.239688874,3.222222222,3.380533515,0.611331529013323
"Loyola Chicago (MVC)",6.22,6.041049418,0.777777778,1.178870628,0.963316032020162
"Loyola Marymount (WCC)",3.38,3.483117445,2.875,3.067797309,0.563144994769411
"LSU (SEC)",8.73,8.301756901,2.090909091,2.361582096,0.925136219319693
"Maine (America East)",3.08,3.212913363,5.916666667,5.807366471,0.234352021576146
"Manhattan (MAAC)",6,5.842899758,6,5.88242316,0.496629265290838
"Marist (MAAC)",4.09,4.122600438,4.545454545,4.572342763,0.44841343181094
"Marshall (C-USA)",5.7,5.572695676,2.8,3.000246289,0.775279994005071
"Maryland (Big Ten)",3.7,3.771335132,4.7,4.711538806,0.390509525159217
"Massachusetts (Atlantic 10)",2.3,2.510382751,4.2,4.26119867,0.257647747256904
"McNeese (Southland)",3.45,3.546165064,2.818181818,3.016622294,0.580166759432202
"Memphis (AAC)",4.67,4.644994996,3.888888889,3.98098703,0.5765242173842
"Mercer (SoCon)",3.82,3.879416765,6.818181818,6.619343382,0.255665095258728
"Miami (OH) (MAC)",3.4,3.50113105,3.9,3.990994588,0.434894542585555
"Michigan (Big Ten)",4.22,4.239688874,3.333333333,3.4806091,0.597381184161215
"Michigan St. (Big Ten)",5.33,5.239443976,6.333333333,6.182649917,0.417981958825451
"Middle Tenn. (C-USA)",2.6,2.780586833,4.2,4.26119867,0.298641145352674
"Minnesota (Big Ten)",6.14,5.968994996,3.428571429,3.566388175,0.736925667924393
"Mississippi St. (SEC)",6,5.842899758,2.777777778,2.980231172,0.793549078200348
"Mississippi Val. (SWAC)",2,2.240178669,10.55555556,9.985522181,0.0479179395967425
"Missouri (SEC)",6.3,6.11310384,1.3,1.649225881,0.932153977207504
"Missouri St. (MVC)",3.6,3.681267105,3.4,3.540654452,0.519462876621419
"Monmouth (MAAC)",2.9,3.050790914,3.4,3.540654452,0.426090141138713
"Montana (Big Sky)",3.8,3.861403159,6.3,6.152627241,0.282580534908294
"Morehead St. (OVC)",2.56,2.744559622,9.777777778,9.284993077,0.0803532098756769
"Morgan St. (MEAC)",2.75,2.915688874,7.375,7.120858534,0.143582971581745
"Mount St. Mary's (NEC)",4.22,4.239688874,4.444444444,4.481364958,0.47230946655904
"Murray St. (OVC)",5.3,5.212423567,5.5,5.432083024,0.479372838499985
"N.C. A&T (MEAC)",1.46,1.753811322,7.153846154,6.921669628,0.0603281780520349
"N.C. Central (MEAC)",2.56,2.744559622,7.111111111,6.883179017,0.137179077386995
"NC State (ACC)",3.92,3.969484792,3.5,3.630722479,0.544484394367988
"Nebraska (Big Ten)",8.67,8.247716084,3.666666667,3.780835858,0.826350830946516
"Nevada (MWC)",3.73,3.79835554,3.545454545,3.671662491,0.516955329408183
"New Mexico (MWC)",5.07,5.005267105,4.571428571,4.595737056,0.542577451189617
"New Mexico St. (WAC)",7.33,7.04080452,4.111111111,4.181138201,0.739289283715812
"Niagara (MAAC)",1.14,1.465593635,6,5.88242316,0.0584466403657384
"Nicholls St. (Southland)",3.7,3.771335132,1.7,2.00949799,0.778869123959168
"Norfolk St. (MEAC)",4.67,4.644994996,5.333333333,5.281969645,0.436097002757569
"North Carolina (ACC)",4.88,4.834137853,4.625,4.643987786,0.520053919178985
"North Dakota (Summit League)",2.5,2.690518805,6.4,6.242695269,0.15665159464281
"North Dakota St. (Summit League)",4.88,4.834137853,5.125,5.094327922,0.473811512836105
"North Florida (ASUN)",4.75,4.717049418,4,4.081062615,0.571910974524572
"North Texas (C-USA)",8.44,8.040559622,2.555555556,2.780080001,0.893217681689999
"Northern Colo. (Big Sky)",1.22,1.537648057,8.111111111,7.78385929,0.0375576707211563
"Northern Ill. (MAC)",5.1,5.032287513,2.5,2.730042207,0.772611296871271
"Northern Ky. (Horizon)",3.13,3.257947377,4.75,4.75657282,0.319328358154105
"Northwestern (Big Ten)",5.67,5.545675268,2.777777778,2.980231172,0.775918044129213
"Northwestern St. (Southland)",2.88,3.032777309,4.5,4.531402752,0.309361616014791
"Notre Dame (ACC)",3.1,3.230926969,5,4.981742888,0.296082829755095
"Oakland (Horizon)",3.63,3.708287513,7.75,7.458613636,0.19819743037688
"Ohio (MAC)",5.11,5.041294316,3.888888889,3.98098703,0.61591998175283
"Ohio St. (Big Ten)",3.88,3.933457581,2.5,2.730042207,0.674893816538652
"Oklahoma (Big 12)",8.4,8.004532411,1.5,1.829361935,0.950361768692397
"Oklahoma St. (Big 12)",5.6,5.482627649,3.4,3.540654452,0.705690703464856
"Ole Miss (SEC)",4.22,4.239688874,2.222222222,2.479853243,0.745087442829391
"Omaha (Summit League)",2.2,2.420314724,8.7,8.314259894,0.0781214348011862
"Oregon (Pac-12)",7.44,7.13987935,5.111111111,5.081818473,0.663750621781518
